pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
readable-stream,1403.54,270.96,19079.41,6308.47
glob,1548.23,1894.54,17499.88,21798.64
async,1344.29,379.96,10736.45,850.00
lodash,2.81,27.85,10887.03,7943.57
debug,875.88,696.57,33700.76,41955.74
qs,76.70,66.06,48399.39,40517.40
minimist,543.02,184.40,14367.53,11123.05
source-map,2335.57,76.31,44261.30,33793.50
minimatch,1801.66,2573.94,11252.43,21151.35
inherits,17434.46,3989.11,45106.58,23443.80
isarray,14280.57,28.33,28354.10,262.55
ms,6444.75,933.50,30251.70,29875.85
supports-color,570.29,146.03,31008.82,
commander,1911.62,91.05,2787.07,544.77
assert-plus,7458.53,510.32,69386.12,25858.81
object-assign,,5.11,,
graceful-fs,1743.64,811.07,40945.60,44054.23
camelcase,206.83,51.35,,
mkdirp,86.55,556.39,12503.99,
semver,1032.01,301.63,29703.94,1405.12
yargs,1480.34,110.25,46313.03,1542.37
string_decoder,128.16,56.52,48370.72,23204.46
strip-ansi,2.65,5.59,35545.09,
chalk,50.05,35.03,18333.78,
request,8302.78,195.84,35812.93,59179.97
once,7.78,333.21,14164.81,2689.21
ansi-regex,273.45,46.76,,
ansi-styles,86.52,182.56,,
acorn,23.96,20.31,37183.61,4714.08
mime-types,1822.11,1162.03,7442.87,2885.53
esprima,235.60,40.70,62811.83,37246.97
form-data,822.49,555.38,50393.81,42217.81
mime-db,1057.34,482.61,18650.70,3659.93
rimraf,3792.89,1914.07,13443.42,
balanced-match,1699.27,10.88,28719.51,33551.84
xtend,431.69,15.00,,
lru-cache,978.42,2528.04,8900.21,5878.47
core-util-is,8285.57,26218.36,59775.08,
punycode,227.84,1278.59,53978.28,22712.13
mime,360.36,193.23,,
escape-string-regexp,26.38,31.70,,
has-ansi,0.00,3.95,,
through2,5134.68,384.38,29023.64,32114.36
brace-expansion,177.49,6.00,13368.10,30494.77
uuid,272.69,40.77,2874.32,1033.67
uglify-js,20.98,3.09,51427.47,48823.28
strip-bom,77.89,2.43,,
colors,4097.06,4593.28,46157.99,53310.33
wrappy,,3143.71,73393.97,34899.20
estraverse,107.20,66.28,76577.46,61148.22
window-size,191.30,996.49,19588.20,11427.11
iconv-lite,919.02,129.49,57981.47,49537.82
extend,5.40,70.86,,
inflight,20980.24,37.70,,
concat-map,,,1384.09,2689.30
caseless,1289.64,560.07,69451.18,44630.52
kind-of,7.07,2103.59,44101.90,32614.86
tunnel-agent,69.48,6854.56,74959.03,63433.34
cliui,6625.89,861.30,23648.56,2767.10
path-is-absolute,19.80,6.66,,
string-width,5040.40,27.90,10042.48,
hoek,45.37,36.09,13395.29,18896.73
delayed-stream,5670.17,632.21,,
resolve,944.49,410.23,39217.04,43389.15
combined-stream,1505.03,105.54,54326.05,58631.74
util-deprecate,2444.97,7363.23,38883.29,
