pkg_name,maintainer_count,gh_days_since_commit,gh_open_prs,gh_open_issues,gh_stars,gh_repo_url
readable-stream,3,123,1,15,1038,https://github.com/nodejs/readable-stream
glob,1,17,6,15,8595,https://github.com/isaacs/node-glob
async,5,9,5,8,28234,https://github.com/caolan/async
lodash,3,148,28,72,60446,https://github.com/lodash/lodash
debug,2,47,20,57,11276,https://github.com/debug-js/debug
qs,2,85,11,62,8719,https://github.com/ljharb/qs
minimist,3,107,3,10,609,https://github.com/minimistjs/minimist
source-map,21,335,23,43,3618,https://github.com/mozilla/source-map
minimatch,1,305,6,8,3371,https://github.com/isaacs/minimatch
inherits,1,571,2,4,353,https://github.com/isaacs/inherits
isarray,1,198,1,1,133,https://github.com/juliangruber/isarray
ms,8,253,13,19,5266,https://github.com/vercel/ms
supports-color,2,142,0,2,356,https://github.com/chalk/supports-color
commander,4,1,1,11,27297,https://github.com/tj/commander.js
assert-plus,8,872,1,11,122,https://github.com/mcavage/node-assert-plus
object-assign,3,551,0,0,919,https://github.com/sindresorhus/object-assign
graceful-fs,1,288,23,27,1288,https://github.com/isaacs/node-graceful-fs
camelcase,1,589,1,1,692,https://github.com/sindresorhus/camelcase
mkdirp,1,602,0,1,193,https://github.com/isaacs/node-mkdirp
semver,7,2,4,42,5243,https://github.com/npm/node-semver
yargs,2,4,1,99,11245,https://github.com/yargs/yargs
string_decoder,4,140,1,6,34,https://github.com/nodejs/string_decoder
strip-ansi,2,111,1,1,414,https://github.com/chalk/strip-ansi
chalk,2,140,1,3,22401,https://github.com/chalk/chalk
request,4,269,25,75,25668,https://github.com/request/request
once,1,578,0,2,222,https://github.com/isaacs/once
ansi-regex,2,243,0,2,191,https://github.com/chalk/ansi-regex
ansi-styles,2,297,0,0,431,https://github.com/chalk/ansi-styles
acorn,3,23,2,14,10922,https://github.com/acornjs/acorn
mime-types,5,43,6,7,1381,https://github.com/jshttp/mime-types
esprima,1,755,10,90,7096,https://github.com/jquery/esprima
form-data,6,1,21,79,2319,https://github.com/form-data/form-data
mime-db,3,9,15,17,1159,https://github.com/jshttp/mime-db
rimraf,1,282,3,10,5754,https://github.com/isaacs/rimraf
balanced-match,1,327,3,2,125,https://github.com/juliangruber/balanced-match
xtend,1,1734,0,0,305,https://github.com/Raynos/xtend
lru-cache,1,47,2,9,5549,https://github.com/isaacs/node-lru-cache
core-util-is,1,1348,0,3,103,https://github.com/isaacs/core-util-is
punycode,2,387,9,36,1631,https://github.com/mathiasbynens/punycode.js
mime,1,37,0,0,2247,https://github.com/broofa/mime
