pkg_name,inactivity_score,maintainers_score
performance-now,0.9181688944906936,1.0
getpass,0.9124515187370494,1.0
unpipe,0.9040301088367019,0.895046213084651
is-resolvable,0.8904898181625202,1.0
forever-agent,0.8893009248629441,0.8621410067585094
oauth-sign,0.8833413008400637,0.885463807171392
tunnel-agent,0.861500303485831,0.8134719942559349
utila,0.8601646751376648,0.787172255316485
clone-stats,0.8577545166316638,1.0
caseless,0.8553913937770857,0.6157133721602482
aws-sign2,0.8518848411431277,0.5259651255795503
depd,0.8474407519532895,0.895046213084651
has-unicode,0.8441945638849697,0.5264576991597272
console-control-strings,0.8306969769228968,0.5119141509446188
media-typer,0.8296608234241504,0.4637636457195693
cryptiles,0.8281804127934673,0.5128439359832723
vary,0.8279939773134984,0.4637636457195693
ecc-jsbn,0.8270771908345014,0.3465626252388712
wide-align,0.826788392455003,0.5119141509446188
async-foreach,0.824869918099975,0.7444188710426072
stringstream,0.8234042968732793,0.48302220635681614
negotiator,0.8196077364932028,0.895046213084651
deep-is,0.8153798364400542,0.36252920042792547
range-parser,0.8135005739472263,0.43933549122299076
duplexer2,0.8122817216599874,0.3994147338341195
normalize-range,0.8094691188841395,0.4305977983249364
aproba,0.8092394287343816,0.5119141509446188
remove-trailing-separator,0.809024543491095,0.3524810241725972
options,0.8087641416443453,0.37768685926612666
methods,0.8072601556595708,0.43933549122299076
boolbase,0.8064019480247121,0.4642720294383378
destroy,0.8045831893123118,0.3281231841005596
compressible,0.804271283952667,0.6359701700033387
proxy-addr,0.8042116289464966,0.4855929466494655
es6-symbol,0.8025180604443536,0.5489953496820951
has-gulplog,0.8023187184383531,0.3618718043207308
to-arraybuffer,0.8003398670726305,0.39255489782153946
escape-html,0.8003028010528317,0.5529457671068767
bcrypt-pbkdf,0.7977646890965936,0.23052680806232356
ee-first,0.7975280416043076,0.4671178130990056
stream-consume,0.7965555526375093,0.356478015845797
findup-sync,0.7935221463618123,0.354812777397965
core-util-is,0.7910182187339563,0.2580737322572774
bytes,0.7909935193106113,0.44475878504292105
whet.extend,0.7903327718904338,0.3464528298864883
es6-set,0.7899954121839504,0.390051953180077
content-type,0.7857224107477732,0.5651794412926294
is-arrayish,0.7843073329188263,0.21602163166929955
parsejson,0.7842192099090035,0.2544538601176747
merge-descriptors,0.7840298164780932,0.3235739039801664
assertion-error,0.7829181032144221,0.3464272421317085
asn1,0.7818386301022615,0.24446037387354314
jodid25519,0.7760775297740075,0.2867265811247468
setprototypeof,0.7738407776586396,0.21477160406720755
parseurl,0.7737131519464128,0.4671178130990056
lazystream,0.7714495740880262,0.4278862266247473
es6-iterator,0.7706595833964642,0.18784978673483835
to-fast-properties,0.7699587286416555,0.3493377819168429
is-absolute-url,0.7691036513910439,0.35529522496060384
uid-number,0.7685522773590184,0.2836762006250155
assert-plus,0.7685041766633095,0.19378351921690695
create-error-class,0.7684473022304317,0.3418824240033338
batch,0.7677419701707644,0.442295310973647
inherits,0.7647707335933989,0.2335596813662109
ordered-read-streams,0.7633281327433762,0.22796516040043868
utils-merge,0.7633086855414251,0.3053778942044317
set-blocking,0.7628530271202834,0.23241082180547148
json-stringify-safe,0.7628182527072013,0.39992924279377434
inflight,0.7619045825260818,0.16932147546486837
fs-readdir-recursive,0.7614796238644075,0.4765260437157446
are-we-there-yet,0.7605437838771847,0.28631649178535457
cycle,0.7600541441295183,0.2564468758318232
type-detect,0.75992026450676,0.3504766954140827
url,0.7598515919048073,0.3558521487808184
typedarray,0.7582000605851724,0.132149274004093
cookiejar,0.7581848635236512,0.37739070585647105
pify,0.7566166484701515,0.49933423967543805
parseqs,0.755541960162434,0.1855894698717083
trim-newlines,0.7554563244437663,0.18961005536688344
backo2,0.7550962839315117,0.3271302657023632
repeat-element,0.754582307426523,0.14676307578319484
isstream,0.7538108479531668,0.2145063263960896
uid-safe,0.7536440240913692,0.3739035842582144
array-unique,0.752597415911368,0.21282423513659382
arrify,0.7525916174825912,0.20215282859267117
strip-bom,0.752185691738059,0.1610385888634035
path-parse,0.751796158244391,0.21772719852685965
trim-right,0.7514586570303153,0.19800625239667755
source-list-map,0.7511126853712963,0.22552773823214825
vinyl-sourcemaps-apply,0.7507454671954272,0.3205788091057046
deep-eql,0.7505056915324467,0.3464272421317085
http-signature,0.7503820645031183,0.2475938100625762
es6-weak-map,0.7501193857022399,0.2355119313885543
array-uniq,0.7485947427339159,0.17153906585246548
coa,0.7480679526326043,0.3883769996878142
graceful-readlink,0.7479745107914798,0.11292046668021968
better-assert,0.747894230322593,0.5001400533888586
npmlog,0.7475886794352735,0.2898729405139541
is-path-in-cwd,0.7474789363064651,0.1610385888634035
acorn-globals,0.7472683770691311,0.25876851460765066
path-browserify,0.746763121354875,0.37110916877690864
from,0.7466375010267307,0.3074185906007478
amdefine,0.7465208607431375,0.3432204419586296
wrappy,0.7464665459318216,0.13168252285368195
is-fullwidth-code-point,0.7462528579769379,0.12919422405193667
global-modules,0.7455025816504778,0.22211911195536682
vm-browserify,0.7438921814253505,0.3649505048647889
on-headers,0.7437576387519852,0.3350102293793265
error-ex,0.7435140176508153,0.27060180128414113
path-type,0.7426814977367643,0.16043369689684728
ieee754,0.7415960009890518,0.22967585150691525
redent,0.7414179869969006,0.1610385888634035
event-emitter,0.7411192799049005,0.390051953180077
fstream,0.7409745093558531,0.28405201666922486
has-flag,0.7408550979198112,0.1610385888634035
array-flatten,0.7408463480835727,0.1701706293545354
sparkles,0.7392795635705469,0.16803053357533276
jsonify,0.7392069584778308,0.10046801338638042
node-uuid,0.7390413698059479,0.21387962253283946
cli-width,0.738377827967614,0.21466819191824288
glogg,0.738324834605448,0.16803053357533276
restore-cursor,0.7364279947966601,0.13849313915657555
array-union,0.7363107967633535,0.1610385888634035
regenerate,0.7356078301885495,0.29847288933465305
replace-ext,0.7349211986990556,0.151729407149784
asynckit,0.7342003076445134,0.1933446377453166
asn1.js,0.7341226946083511,0.35886816139533123
aws4,0.73348956344839,0.2978225408181631
cli-cursor,0.7326153230665885,0.1610385888634035
component-inherit,0.7316783464961015,0.1556429853524056
webidl-conversions,0.7315150114333343,0.19448233642564672
read-pkg,0.7314612147320881,0.1610385888634035
brorand,0.7298453472880744,0.17380396761690003
deep-equal,0.7292874955770148,0.3325002132230704
socket.io-parser,0.72901873962281,0.20261009381496975
jsonpointer,0.7288730115991349,0.16241395938567363
invert-kv,0.728729675589444,0.12414536560086398
is-path-inside,0.7285034855467702,0.13540631513973092
clone,0.7284617885589502,0.2820048271869024
buffer-shims,0.728296772073336,0.10699187967715613
repeating,0.7277985764123767,0.10020542810489037
base64id,0.7277871032910973,0.1389269379091479
glob-parent,0.7274693359363634,0.16000973057564388
strip-indent,0.7269228530609356,0.1610385888634035
gulplog,0.7262538653035329,0.16803053357533276
css-color-names,0.7261818464090364,0.21693394160961796
loose-envify,0.7256535483227299,0.19937400871341293
slice-stream,0.7255502751194093,1.0
component-bind,0.7252422294419982,0.15612984260347443
fstream-ignore,0.7243455580761526,0.2319227242794355
is-glob,0.7237717856370832,0.12803417976200762
is-posix-bracket,0.72335856553577,0.09266491392269315
unc-path-regex,0.7231180892822645,0.13879556177043237
browser-stdout,0.722650799989012,0.21105690525949639
deep-extend,0.7222629807803442,0.17848840387523288
macaddress,0.7212531899436188,0.23753737056854254
defined,0.7212163882298225,0.09497438170111261
des.js,0.7210515277467414,0.15971675374487052
read-pkg-up,0.7210482729941378,0.1610385888634035
user-home,0.7208535732108698,0.13116455497103455
normalize-path,0.7208526879072136,0.12334462264844327
stream-http,0.720230335985448,0.31111537466422734
imurmurhash,0.7199025319117435,0.1568791467798119
socket.io-adapter,0.718932434301693,0.20261009381496975
swagger-methods,0.7184276397071198,1.0
match-stream,0.7184256529369655,1.0
array-find-index,0.7183050020920627,0.10375099710534734
first-chunk-stream,0.7181251106167775,0.1250538725441558
sequencify,0.7175189689576713,0.17032122828095075
public-encrypt,0.7172792679560144,0.2411280837881535
is-buffer,0.7170589533972118,0.13261528238820428
klaw,0.7168510893445454,0.21361319622907876
base64-js,0.7163448886246153,0.24956543279843055
pinkie-promise,0.7162060339156345,0.23295177527318967
in-publish,0.7160603724324875,0.20083991268735926
process,0.7158269402947154,0.205365930669222
v8flags,0.7157643409985384,0.13460450538764127
memory-fs,0.7151067815978054,0.2575466926755751
cssom,0.7148953890313017,0.4588095076196059
del,0.7147333958980184,0.44488416315372303
uniqid,0.7146406693157942,0.3573860449431376
is-redirect,0.7145387259328615,0.13116455497103455
resolve-dir,0.7140174894973311,0.20146692306749805
combined-stream,0.7138867631949328,0.12296451597199236
rechoir,0.713173908790288,0.16803053357533276
jsprim,0.7129931354081452,0.1011469752263221
raw-body,0.7128502611129999,0.3342122104497462
is-utf8,0.7125104800403234,0.11062124928812135
es6-map,0.7120918958509554,0.21326901946128257
querystring,0.7117761880637714,0.1746377123809505
callsites,0.7117559922153817,0.174739270726984
number-is-nan,0.7105758404936718,0.07648636980456383
require-main-filename,0.7097831417426312,0.10045550424961566
is-finite,0.7097779389063064,0.07648636980456383
base64-arraybuffer,0.7095002810028427,0.21465672353377338
postcss-media-query-parser,0.7094981455095764,1.0
lowercase-keys,0.708956231640055,0.131567816282072
duplexer,0.7087899645082928,0.14997651763709288
wrap-ansi,0.7087652272197777,0.12239445621541352
flagged-respawn,0.7085310930484461,0.12891273090261712
symbol-observable,0.7076571521457151,0.2350186520874089
global-prefix,0.7073384109328584,0.12803417976200762
repeat-string,0.7061565162512218,0.08511848933743572
arr-flatten,0.7061126449116487,0.11030389085070418
has,0.7058541288316474,0.10817874995166961
detect-indent,0.7057519685228183,0.13068968867227007
interpret,0.7054771822078602,0.16803053357533276
globjoin,0.7054751513439022,0.9592011856030704
is-npm,0.705375131281833,0.1610385888634035
clap,0.7052167206838266,0.11696405052611432
warning,0.7051723541344238,0.2323212402479575
vinyl-fs,0.705014972034822,0.2809569209800494
decamelize,0.7046848164728157,0.11931336009831651
expand-range,0.7046676503080785,0.07137016113887627
map-stream,0.7042919746800606,0.22969904008359876
onetime,0.703685538641734,0.11860867576440622
fs.realpath,0.7036545337579323,0.0678317300832895
